@relation TestInstances

@attribute ID numeric
@attribute CUMULATIVE_CONTENT_CONSISTENCY numeric
@attribute AVG_COLS numeric
@attribute AVG_ROWS numeric
@attribute STD_DEV_COLS numeric
@attribute LOCAL_RATIO_EMPTY_ROW_5 numeric
@attribute LOCAL_DIGIT_AMOUNT_VARIANCE_ROW_4 numeric
@attribute LOCAL_AVG_LENGTH_COL_4 numeric
@attribute LOCAL_AVG_LENGTH_ROW_0 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_5 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_5 numeric
@attribute LOCAL_RATIO_IMAGE_COL_4 numeric
@attribute LOCAL_RATIO_SELECT_COL_2 numeric
@attribute LOCAL_RATIO_COLON_COL_1 numeric
@attribute LOCAL_RATIO_COLON_ROW_1 numeric
@attribute LOCAL_RATIO_COMMA_ROW_1 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_4 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_5 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_1 numeric
@attribute LOCAL_RATIO_HEADER_COL_0 numeric
@attribute LOCAL_RATIO_HEADER_COL_2 numeric
@attribute LOCAL_RATIO_CONTAINS_WHITESPACE_ROW_0 numeric
@attribute LOCAL_RATIO_SPECIAL_CHAR_ROW_4 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_1 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_1 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_2 numeric
@attribute CLASS {LAYOUT,RELATION,ENTITY,MATRIX,OTHER}

@data
113,1.25,3.90625,31.25,0.521978,0,28.6875,1.032258,19.75,0.031217,0.032258,0,0,0,0,0.25,0.967742,0.967742,0.75,0.03125,0.032258,0.25,0.5,0,0.5,0.5,RELATION
115,4.666667,2.833333,11.333333,0.552771,0,3.555556,4,5.333333,307.520661,1,0,0,0,0,0.666667,0.909091,0,0.666667,0.166667,0.090909,0,0.666667,0.909091,0.333333,0.333333,RELATION
117,10,2,10,0,0,0.25,20.8,13,0,0,0,0,0,0,0.5,1,1,1,0,0,0.5,1,1,0.5,0.5,RELATION
118,0,4,5,0,0,2.6875,7.2,5.75,0.64,0,0,0,0,0,0,0.8,0.6,0.25,0,0,0.25,0.5,0,0,0,RELATION
126,0.5,1.9375,15.5,0.242061,0,1,2.375,17,19.582222,1,0,0,0,0,0,0.9375,0,0.5,0,0,1,0.5,0,0.5,0.5,RELATION
127,138.666667,3,148,0,0,3.555556,17.574324,5,27.039262,0,0,0,0,0,0,0.02027,0,0.333333,0,0,0,0,0,0,0,RELATION
131,2,2,2,0,0,2.25,6.5,5,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0,1,0,0,0,RELATION
132,-1.5,4,12,0,0,2.75,8.916667,18,13.805556,0,0,0,0,0,0,0.916667,0.916667,1,0,0,0.75,0.5,0,0,0,RELATION
136,3,4.585366,23.5,3.498959,0,5.484375,11.761905,6.625,0.340136,0.047619,0,0,0,0,0,0.952381,0.952381,0.75,0,0,0.75,0.375,0,0.375,0,RELATION
141,-1.666667,6,5,0,0,11.888889,4.6,7.5,4,0,0,0,0,0,0.166667,0.8,0.8,1,0.2,0.2,0,0.833333,0,0,0,RELATION
142,29,2,31,0,0,0,11.903226,9.5,631.021852,0,0,0,0,0,0,0,0.032258,0,0.032258,0.032258,0,0.5,0,0,0,RELATION
143,3,2.7,9,0.640312,0,0.222222,8.333333,18,0.984375,0,0,0,0,0,0,0,1,0.666667,0,0,1,0.666667,0,0.333333,0.333333,RELATION
145,5,2,5,0,0,0,55.6,30.5,0,0,0,0,0,0,0.5,1,1,1,0,0,1,1,0,0,0,RELATION
151,0,5,8,0,0,0.64,1.875,1.2,0.4375,0,0,0,0,0,0,0.875,0.875,0.8,0.125,0.125,0,0,0,0.4,0.4,RELATION
152,-1.333333,6,6,0,0,1.333333,2.5,2.166667,0.138889,0,0,0,0,0,0,0.833333,0.833333,0.833333,0,0,0,0.333333,0,0.833333,0.833333,RELATION
153,15,5,15,0,0,0.24,0,4.4,0,1,0,0,0,0,0,0,1,0.4,0,0,0.2,0,0,0.4,0.4,RELATION
154,11,3,11,0,0,6.222222,55.363636,13.666667,0.14876,0,0,0,0,0,0,0.090909,1,0.666667,0,0,0.666667,0.666667,0,0.333333,0.333333,RELATION
158,1.5,3,4,0,0,4.222222,4.75,16,6.75,0.75,0,0,0,0,0.333333,0.75,0.75,1,0.25,0.25,0.666667,0.333333,0.75,0.333333,0.333333,RELATION
159,1.5,3,4,0,0,1.555556,3.75,16,105.25,0.75,0,0,0,0,0.666667,0.75,0.75,1,0.25,0.25,0.666667,0.333333,0.75,0.333333,0.333333,RELATION
161,1,1.857143,13,0.349927,0,0.25,4.142857,11,81.354167,1,0,0,0,0,0,0.857143,0,0.5,0,0,0,0.5,0,0.5,0,RELATION
163,5.857143,7,53,0,0,2.979592,16.811321,5.428571,0.333927,0,0,0,0,0,0.142857,0.622642,0.981132,0.571429,0.018868,0.018868,0,0.285714,0,0.285714,0.285714,RELATION
167,0.75,3.75,3,1.63936,0,2.56,4.333333,7.75,8,0,0,0,0,0,0,0,0,0.4,0.25,0.333333,0,0.2,0,0,0,RELATION
174,0,2,10,0,0,0,3.5,8.5,70.25,0.9,0,0,0,0,0,0.6,0.2,0.5,0,0,0.5,0,0,0,0,RELATION
176,1,2,35,0,0,2.25,7.4,18.5,3.996735,0,0,0,0,0,0,0,0.971429,0.5,0,0,1,1,0,0,0,RELATION
179,5,2,5,0,0,0.25,1,12.5,74.56,1,0,0,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0.5,0.5,RELATION
186,2,2,2,0,0,0,2.5,241.5,7656.25,0,0,0,0,0,0.5,0,0,0,0,0,0.5,1,0,0,0,RELATION
187,-5.25,9,8,0,0,1.802469,4.125,8.888889,0,0,0,0,0,0,0,0.625,0.875,0.666667,0,0,0.111111,0.555556,0.875,0.666667,0.555556,RELATION
190,-15.75,18.75,27.631579,0.784902,0,1.496094,1.5,2.666667,2.372449,0.035714,0,0,0,0,0,0.964286,0.678571,0.789474,0.035714,0.035714,0,0.25,0,0.736842,0.631579,RELATION
192,-2.222222,8.916667,23.777778,0.399653,0,10.617284,4.826087,11.571429,0.984375,0.958333,0,0,0,0,0.444444,0.956522,0.916667,0.777778,0,0,0.428571,0.666667,0.958333,0.222222,0.222222,RELATION
194,3,3,3,0,0,57.555556,47,24,0.222222,0,0,0,0,0,0,1,1,0.666667,0,0,0.666667,0.666667,0,0,0,RELATION
196,10,2,10,0,0,2.25,7.4,5.5,0,0,0,0,0,0,0,0.1,1,0.5,0,0,0,0.5,0,0,0,RELATION
197,-0.2,3.375,5.4,1.494783,0,0,5.333333,58,2.96,0,0,0,0,0,0,0.666667,0.8,0,0.75,0.25,1,0.5,0,0,0,RELATION
201,15,3,15,0,0,2.888889,10.4,5,63.528889,1,0,0,0,0,0,1,0.266667,0.666667,0,0,0.333333,0.333333,0,0.333333,0.333333,RELATION
202,2,4,2,0,0,5.6875,13,8.75,0,0,0,0,0,0,0,0,1,0.75,0,0,0.75,0.5,0,0,0,RELATION
203,5,3,5,0,0,0.222222,0,4,0.8,0,0,0,0,0,0,0,1,0.666667,0,0,0.333333,0.333333,0,0,0,RELATION
204,-0.714286,3,28,0,0,6.222222,75.535714,8.666667,5.248724,0,0,0,0,0,0,0.107143,0.964286,0.666667,0,0,0,1,0,0,0,RELATION
208,8,3,8,0,0,0.888889,3,7,75.9375,1,0,0,0,0,0,0,1,0.333333,0,0,0.333333,0.333333,0,0,0,RELATION
211,5,2,5,0,0,0.25,15.4,19,22.56,1,0,0,0,0.5,0.5,0,0.4,0.5,1,0,0.5,1,0,0,0,RELATION
213,8.166667,5.961538,25.833333,0.192308,0,0.805556,1.884615,5.4,0.036982,0,0,0,0,0,0,0.961538,0,0.5,0,0,0,0.166667,0,0.333333,0.333333,RELATION
229,-1.6,5,26,0,0,9.2,3.384615,8.2,1.81213,0,0,0,0,0,0,0.961538,0.615385,0.6,0,0,0.2,0.8,0,0,0,RELATION
236,3.333333,3,4,0,0,0,17.75,5.666667,0.1875,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.333333,0,0,0,RELATION
238,-2.375,15.6,4.875,0.8,0,1.496094,1.8,3.25,0.16,0,0,0,0,0,0,0.8,0.8,1,0,0,0.0625,0.1875,0.75,0.9375,0.9375,RELATION
242,-1,8.84,49.111111,1.12,0,6.024691,10.959184,8.444444,0.336526,0,0,0,0,0,0,0.979592,0.979592,0,0,0,0.666667,0.222222,0,0,0.333333,RELATION
244,2.714286,5.222222,6.714286,2.528846,0,0.25,12.666667,5.142857,0.888889,0,0,0,0,0,0,0.833333,0,0.857143,0,0,0,0,0,0.285714,0.285714,RELATION
245,-1,3,5,0,0,133.555556,46.4,7.333333,5.44,0,0,0,0,0,0.333333,0.8,0.8,0.666667,0.2,0.2,0.333333,0.666667,0,0.333333,0.333333,RELATION
247,-2.166667,12,7,0,0,0.333333,1.142857,2.166667,0.489796,0,0,0,0,0,0,0.857143,0.857143,0.833333,0.142857,0.142857,0,0,0,0.833333,0.833333,RELATION
254,3,3,3,0,0,57.555556,47.666667,23.666667,0.222222,0,0,0,0,0,0,1,1,0.666667,0,0,0.666667,0.666667,0,0,0,RELATION
255,2,2,2,0,0,2.25,21,14,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0.5,1,0.5,0.5,RELATION
260,-3.285714,7,7,0,0,0.693878,1.571429,8.285714,6,0,0,0,0,0,0,0,0,0.571429,0,0,0.142857,0.285714,0.857143,0.571429,0.571429,RELATION
271,16.333333,5.684211,18,1.339781,1,142.222222,88.555556,7,1.311728,0,0,0,0,0,0.333333,0.944444,0,0.166667,0.055556,0.055556,0,0.333333,0,0,0,RELATION
288,-0.909091,11,4,0,0,1.867769,2.5,5,1.1875,0,0,0,0,0,0,0,0.75,0.636364,0.25,0.25,0.181818,0.454545,0,0.454545,0.454545,RELATION
289,-1.555556,5.851852,17.555556,3.296504,0,0,3.666667,0,0,0,0,0,0,0,0,0.733333,0,0.375,0,0,0,0,0,0,0,RELATION
290,-4.934783,7.847826,40.111111,2.72642,0,2.617284,1.071429,0,1.136095,0,0,0,0,0,0,0,0,1,0,0,0,0.111111,0.923077,0,0.222222,RELATION
291,-1,6.058824,11.444444,3.152414,0,0,3.1,0,0,0,0,0,0,0,0,0.6,0,0.375,0,0,0,0,0,0,0.555556,RELATION
292,-0.777778,6.230769,9,3.016719,0,0,2.875,0,0,0,0,0,0,0,0,0.5,0,0.375,0,0,0,0,0,0,0.555556,RELATION
299,0.8,4,4,1.549193,0,93.44,7,47,54.1875,0.5,0,0,0,0,0,0,0,0,0.4,0.25,1,0.4,0.75,0,0.2,RELATION
305,2,2.666667,5.333333,0.745356,0,4.222222,24.6,9,0.24,0,0,0,0,0,0,1,0,0.666667,0,0,1,0.333333,0,0,0,RELATION
308,0.5,2,4,0,0,0.25,10,3.5,0,0,0,0,0,0,0,0,0.75,0.5,0.25,0.25,0,0,0.75,0.5,0.5,RELATION
309,-0.4,4.5,3.6,0.5,0,3.84,9,10,8.25,0,0,0,0,0,0,0.666667,0.5,0,0,0,0,1,0,0,0,RELATION
310,2.8,4,5,0,0,1.1875,9,9,0.4,0,0,0,0,0,0.5,0.8,0.8,1,1,0.2,0.75,0.75,0,0.25,0.25,RELATION
311,-0.809524,3,21,0,0,14,2.52381,6,1.632653,0.047619,0,0,0,0,0.333333,0.952381,0.952381,1,0.047619,0.047619,0,0.666667,0.904762,0.666667,0.666667,RELATION
313,-0.2,3,5,0,0,10.888889,8.8,7.333333,314.16,0,0,0,0,0,0,0.8,0,0.666667,0,0,0.333333,0.666667,0,0,0,RELATION
314,10,4,10,0,0,12,1,11,261.76,1,0,0,0,0,0,0,0,0.25,0,0,0.25,1,0,0,0,RELATION
315,-7.666667,11,15,0,0,1.157025,1.866667,4.636364,0.462222,0,0,0,0,0,0,0.933333,0.933333,0.909091,0.066667,0.066667,0,0,0,0.818182,0.818182,RELATION
316,4.666667,3,16,0,0,2,44.25,10.666667,1.484375,0,0,0,0,0,0,0,0.75,0,0,0,0.333333,0,0,0,0,RELATION
320,3.666667,2.818182,10.333333,0.57496,0,29.555556,0,4,1.45,0,0,0,0,0,0,0,1,0.666667,0.090909,0,0,0.666667,0,0.333333,0.333333,RELATION
323,6.666667,6,10,0,0,5,15.1,9.333333,223.49,0.4,0,0,0,0,0.166667,0.9,0.6,0.333333,0.1,0.1,0.5,0.166667,0,0,0,RELATION
328,0.5,8,4,0,0,3,8,8.75,6.75,0,0,0,0,0,0,0.75,0,0.625,0.25,0.25,0.5,0.125,0,0,0,RELATION
336,9.666667,6,28,0,0,4.888889,7.928571,5,6.667092,0,0,0,0,0,0,0.964286,0.071429,0.5,0.035714,0.035714,0,0.166667,0,0.166667,0.166667,RELATION
337,15,3,15,0,0,6.222222,11,6.666667,29.715556,1,0,0,0,0,0,1,0,0.666667,0,0,0.333333,0.333333,0,0.333333,0.333333,RELATION
339,8.714286,7,13,0,0,1.265306,7.307692,5.714286,0.639053,0.923077,0,0,0,0,0.142857,0.923077,0,0.428571,0.076923,0.076923,0,0.428571,0,0,0,RELATION
343,2.666667,3,6,0,0,2,5,5,6.472222,0,0,0,0,0,0,0.166667,1,0.333333,0,0,0,0.666667,0.166667,0,0,RELATION
347,11.666667,2.6,30.333333,0.763451,0,0.222222,17.551724,37,76.233196,0,0,0,0,0,0,0.068966,0,0,0.228571,0.172414,1,0.333333,0,0,0.333333,RELATION
348,-3.571429,7,11,0,0,5.265306,7.454545,10,8.264463,0,0,0,0,0,0.285714,0.909091,0.909091,0.714286,0.090909,0.090909,0.571429,0.714286,0,0,0,RELATION
353,0.4,4.666667,2.8,0.471405,0,8.64,3.666667,10.25,134.888889,0.666667,0,0,0,0,0,0.666667,0.666667,0.6,0.333333,0.333333,0.5,0.2,0,0.4,0.4,RELATION
354,-1.304348,4,69,0,0,2.6875,3.231884,9,534.031926,0,0,0,0,0,0.25,0.362319,0.608696,0.5,0.014493,0.014493,0.5,0.75,0,0,0,RELATION
357,1,2,6,0,0,9,2,17.5,15.333333,0.833333,0,0,0,0,0,0,1,0.5,1,0,0.5,1,0,0,0,RELATION
358,0.093023,2.930233,31.5,1.4207,0,6.75,9.464286,9.5,1.534439,0,0,0,0,0,0,0.928571,0.928571,0,0.04878,0.071429,0.5,0.75,0,0,0,RELATION
365,1,2,5,0,0,0,14.8,6,4,0,0,0,0,0,0,0.8,0.8,1,0.2,0.2,0,1,0,0,0,RELATION
367,4.666667,3,6,0,0,4.222222,4.166667,15.333333,6.805556,0.833333,0,0,0,0,0,0,0.833333,0.666667,0.166667,0.166667,0.666667,0.666667,0,0,0,RELATION
368,2.666667,3,6,0,0,4.222222,2.666667,15.333333,6.805556,0.833333,0.5,0,0,0,0,0,0.833333,0.666667,0.166667,0.166667,0.666667,0.333333,0,0,0,RELATION
369,1.333333,3,6,0,0,4.666667,3.666667,15.333333,6.805556,0.833333,0.166667,0,0,0,0,0,0.833333,0.666667,0.166667,0.166667,0.666667,0.333333,0,0,0,RELATION
370,4,3,6,0,0,4.222222,1.666667,15.333333,6.805556,0.833333,0.833333,0,0,0,0,0,0.833333,0.666667,0.166667,0.166667,0.666667,0.333333,0,0,0,RELATION
371,2,3,6,0,0,4.666667,3.166667,15.333333,6.805556,0.833333,0.333333,0,0,0,0,0,0.833333,0.666667,0.166667,0.166667,0.666667,0.333333,0,0,0,RELATION
374,6,2,6,0,0,0.25,25.333333,12,0.666667,0,0,0,0,0.5,0,0,1,0.5,0,0,0.5,0.5,1,0.5,0.5,RELATION
377,5,2,5,0,0,0.25,1,18,61.76,1,0,0,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0.5,0.5,RELATION
384,1.666667,3,7,0,0,0.222222,6.857143,9,23.061224,0.428571,0,0,0,0,0,0.857143,0.714286,0.666667,1,0.142857,0.333333,0,0.571429,0.666667,0,RELATION
390,5.625,23.105263,18.291667,1.618795,0,0.64,1.263158,3.041667,1.163435,0,0,0,0,0,0,0.684211,0.631579,0.708333,1,0.052632,0.041667,0.4,0,0.083333,0.083333,RELATION
394,-0.333333,6,3,0,0,0.888889,2.333333,4.666667,0,0,0,0,0,0,0.166667,0.666667,0.666667,0.833333,0,0,0,0.333333,0.666667,0.833333,0.833333,RELATION
397,-4.792453,6.981132,52.857143,0.136059,0,3.428571,5.849057,6.5,0.038462,0,0,0,0,0,0.285714,0.981132,1,0.857143,0,0,0.166667,0.285714,0,0.428571,0.428571,RELATION
398,12,6,26,0,0,0.888889,0,6.666667,0,0,0,0,0,0,0.333333,0,0,0.333333,0,0,0.333333,0.166667,0.153846,0,0,RELATION
399,-0.870968,3,31,0,0,20.222222,9.225806,3.666667,7.991675,0,0,0,0,0,0,0,0.967742,0.666667,0.032258,0.032258,0,0.666667,0,0.333333,0.333333,RELATION
400,2.333333,3,5,0,0,0.222222,21.2,8.333333,6.96,0,0,0,0,0,0,0,0.4,0.666667,0.2,0.2,0.333333,0.666667,0,0,0,RELATION
401,3,3,3,0,0,57.555556,47.333333,24,0.222222,0,0,0,0,0,0,1,1,0.666667,0,0,0.666667,0.666667,0,0,0,RELATION
404,0.625,7.75,3.875,0.433013,0,4.234375,5.5,11.285714,0,0,0,0,0,0,0,0.75,1,0.75,0.25,0.25,0.571429,0.375,0,0,0,RELATION
406,1.5,5,4,0,0,5.44,2.25,7.8,12,0.25,0,0,0,0,0.2,0.75,0.75,0.6,0.25,0.25,0.4,0.4,0,0.2,0.2,RELATION
407,17,2,17,0,0,1,3,11.5,221.771626,1,0,0,0,0,0,1,0.117647,0.5,0,0,0.5,0.5,0,0.5,0.5,RELATION
409,10,4,10,0,0,1.5,12,7.75,0,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0.75,0,0.5,0.5,RELATION
415,4,4,5,0,0,1.6875,7,5,1.36,0,0,0,0,0,0,1,0.6,0.5,0,0,0.5,0,0,0.25,0.25,RELATION
417,2,2,2,0,0,0.25,1,16,625,1,0,0,0,0,0,1,0.5,1,0,0,0.5,0,0,0.5,0.5,RELATION
419,-2.555556,9,5,0,0,0.320988,2.4,2.555556,0.64,0,0,0,0,0,0,0.8,0.8,0.888889,0.2,0.2,0,0.111111,0.8,0.888889,0.888889,RELATION
