@relation TestInstances

@attribute ID numeric
@attribute CUMULATIVE_CONTENT_CONSISTENCY numeric
@attribute AVG_CELL_LENGTH numeric
@attribute AVG_COLS numeric
@attribute AVG_ROWS numeric
@attribute RATIO_ALPHABETICAL numeric
@attribute STD_DEV_COLS numeric
@attribute MAX_COLS numeric
@attribute STD_DEV_ROWS numeric
@attribute LOCAL_AVG_LENGTH_COL_0 numeric
@attribute LOCAL_AVG_LENGTH_COL_1 numeric
@attribute LOCAL_AVG_LENGTH_COL_2 numeric
@attribute LOCAL_AVG_LENGTH_COL_3 numeric
@attribute LOCAL_AVG_LENGTH_COL_4 numeric
@attribute LOCAL_AVG_LENGTH_COL_5 numeric
@attribute LOCAL_AVG_LENGTH_ROW_0 numeric
@attribute LOCAL_AVG_LENGTH_ROW_1 numeric
@attribute LOCAL_AVG_LENGTH_ROW_2 numeric
@attribute LOCAL_AVG_LENGTH_ROW_3 numeric
@attribute LOCAL_AVG_LENGTH_ROW_4 numeric
@attribute LOCAL_AVG_LENGTH_ROW_5 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_0 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_1 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_2 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_3 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_4 numeric
@attribute LOCAL_LENGTH_VARIANCE_COL_5 numeric
@attribute LOCAL_LENGTH_VARIANCE_ROW_0 numeric
@attribute LOCAL_LENGTH_VARIANCE_ROW_1 numeric
@attribute LOCAL_LENGTH_VARIANCE_ROW_2 numeric
@attribute LOCAL_LENGTH_VARIANCE_ROW_3 numeric
@attribute LOCAL_LENGTH_VARIANCE_ROW_4 numeric
@attribute LOCAL_LENGTH_VARIANCE_ROW_5 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_0 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_1 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_2 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_3 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_4 numeric
@attribute LOCAL_RATIO_ANCHOR_COL_5 numeric
@attribute LOCAL_RATIO_ANCHOR_ROW_0 numeric
@attribute LOCAL_RATIO_ANCHOR_ROW_1 numeric
@attribute LOCAL_RATIO_ANCHOR_ROW_2 numeric
@attribute LOCAL_RATIO_ANCHOR_ROW_3 numeric
@attribute LOCAL_RATIO_ANCHOR_ROW_4 numeric
@attribute LOCAL_RATIO_ANCHOR_ROW_5 numeric
@attribute LOCAL_RATIO_IMAGE_COL_0 numeric
@attribute LOCAL_RATIO_IMAGE_COL_1 numeric
@attribute LOCAL_RATIO_IMAGE_COL_2 numeric
@attribute LOCAL_RATIO_IMAGE_COL_3 numeric
@attribute LOCAL_RATIO_IMAGE_COL_4 numeric
@attribute LOCAL_RATIO_IMAGE_COL_5 numeric
@attribute LOCAL_RATIO_IMAGE_ROW_0 numeric
@attribute LOCAL_RATIO_IMAGE_ROW_1 numeric
@attribute LOCAL_RATIO_IMAGE_ROW_2 numeric
@attribute LOCAL_RATIO_IMAGE_ROW_3 numeric
@attribute LOCAL_RATIO_IMAGE_ROW_4 numeric
@attribute LOCAL_RATIO_IMAGE_ROW_5 numeric
@attribute LOCAL_RATIO_INPUT_COL_0 numeric
@attribute LOCAL_RATIO_INPUT_COL_1 numeric
@attribute LOCAL_RATIO_INPUT_COL_2 numeric
@attribute LOCAL_RATIO_INPUT_COL_3 numeric
@attribute LOCAL_RATIO_INPUT_COL_4 numeric
@attribute LOCAL_RATIO_INPUT_COL_5 numeric
@attribute LOCAL_RATIO_INPUT_ROW_0 numeric
@attribute LOCAL_RATIO_INPUT_ROW_1 numeric
@attribute LOCAL_RATIO_INPUT_ROW_2 numeric
@attribute LOCAL_RATIO_INPUT_ROW_3 numeric
@attribute LOCAL_RATIO_INPUT_ROW_4 numeric
@attribute LOCAL_RATIO_INPUT_ROW_5 numeric
@attribute LOCAL_RATIO_SELECT_COL_0 numeric
@attribute LOCAL_RATIO_SELECT_COL_1 numeric
@attribute LOCAL_RATIO_SELECT_COL_2 numeric
@attribute LOCAL_RATIO_SELECT_COL_3 numeric
@attribute LOCAL_RATIO_SELECT_COL_4 numeric
@attribute LOCAL_RATIO_SELECT_COL_5 numeric
@attribute LOCAL_RATIO_SELECT_ROW_0 numeric
@attribute LOCAL_RATIO_SELECT_ROW_1 numeric
@attribute LOCAL_RATIO_SELECT_ROW_2 numeric
@attribute LOCAL_RATIO_SELECT_ROW_3 numeric
@attribute LOCAL_RATIO_SELECT_ROW_4 numeric
@attribute LOCAL_RATIO_SELECT_ROW_5 numeric
@attribute LOCAL_RATIO_COLON_COL_0 numeric
@attribute LOCAL_RATIO_COLON_COL_1 numeric
@attribute LOCAL_RATIO_COLON_COL_2 numeric
@attribute LOCAL_RATIO_COLON_COL_3 numeric
@attribute LOCAL_RATIO_COLON_COL_4 numeric
@attribute LOCAL_RATIO_COLON_COL_5 numeric
@attribute LOCAL_RATIO_COLON_ROW_0 numeric
@attribute LOCAL_RATIO_COLON_ROW_1 numeric
@attribute LOCAL_RATIO_COLON_ROW_2 numeric
@attribute LOCAL_RATIO_COLON_ROW_3 numeric
@attribute LOCAL_RATIO_COLON_ROW_4 numeric
@attribute LOCAL_RATIO_COLON_ROW_5 numeric
@attribute LOCAL_RATIO_COMMA_COL_0 numeric
@attribute LOCAL_RATIO_COMMA_COL_1 numeric
@attribute LOCAL_RATIO_COMMA_COL_2 numeric
@attribute LOCAL_RATIO_COMMA_COL_3 numeric
@attribute LOCAL_RATIO_COMMA_COL_4 numeric
@attribute LOCAL_RATIO_COMMA_COL_5 numeric
@attribute LOCAL_RATIO_COMMA_ROW_0 numeric
@attribute LOCAL_RATIO_COMMA_ROW_1 numeric
@attribute LOCAL_RATIO_COMMA_ROW_2 numeric
@attribute LOCAL_RATIO_COMMA_ROW_3 numeric
@attribute LOCAL_RATIO_COMMA_ROW_4 numeric
@attribute LOCAL_RATIO_COMMA_ROW_5 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_0 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_1 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_2 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_3 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_4 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_COL_5 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_0 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_1 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_2 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_3 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_4 numeric
@attribute LOCAL_RATIO_CONTAINS_NUMBER_ROW_5 numeric
@attribute LOCAL_RATIO_HEADER_COL_0 numeric
@attribute LOCAL_RATIO_HEADER_COL_1 numeric
@attribute LOCAL_RATIO_HEADER_COL_2 numeric
@attribute LOCAL_RATIO_HEADER_COL_3 numeric
@attribute LOCAL_RATIO_HEADER_COL_4 numeric
@attribute LOCAL_RATIO_HEADER_COL_5 numeric
@attribute LOCAL_RATIO_HEADER_ROW_0 numeric
@attribute LOCAL_RATIO_HEADER_ROW_1 numeric
@attribute LOCAL_RATIO_HEADER_ROW_2 numeric
@attribute LOCAL_RATIO_HEADER_ROW_3 numeric
@attribute LOCAL_RATIO_HEADER_ROW_4 numeric
@attribute LOCAL_RATIO_HEADER_ROW_5 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_0 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_1 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_2 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_3 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_4 numeric
@attribute LOCAL_RATIO_IS_NUMBER_COL_5 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_0 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_1 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_2 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_3 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_4 numeric
@attribute LOCAL_RATIO_IS_NUMBER_ROW_5 numeric
@attribute CLASS {LAYOUT,RELATION,ENTITY,MATRIX,OTHER}

@data
1006,5,16.12,5,5,0.2,0,5,0,9,4.2,33,33,28.4,6,9.8,13.6,14.4,14.4,21.6,21.2,0,0.16,219.2,219.2,97.44,0,24.56,89.84,102.64,102.64,374.64,350.96,0,1,1,1,0,1,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0.2,0,1,0,0,0.8,0,0.2,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,RELATION
1007,114.666667,5.009804,6,170,0,0,6,0,1.852941,0,0,0,0,1,4.833333,4,6.5,6.5,4.5,4.5,0.125433,0,0,0,0,0,98.472222,65,174.583333,174.583333,76.583333,76.583333,0,0,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.023529,0.023529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.333333,0.333333,0.333333,0.333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,RELATION
1008,20,41.375,2,20,0,0,2,0,10,72.75,72.75,72.75,10,72.75,42,49.5,33,33,46,46,0,382.8875,382.8875,382.8875,0,382.8875,1024,1560.25,529,529,1296,1296,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0.05,0,0,0,0,0,0,1,0.4,0.4,0.4,1,0.4,0.5,0.5,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1010,4.75,6.52381,3.5,5.25,0.47619,1.118034,4,0.433013,6.666667,6.6,6,6,6,6.8,10,6.5,6.25,6.25,6.25,6.5,2.222222,0.24,0,0,0,0.16,0,0.25,0.1875,0.1875,0.1875,0.25,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5,RELATION
1011,21,10.75,4,25,0.42,0,4,0,8.8,2.36,4,4,4,27.84,10,10.75,14.75,14.75,14.5,8.5,27.76,0.2304,0,0,0,48.1344,63.5,60.6875,211.1875,211.1875,204.75,102.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0.28,0,0,0.25,0.25,0.25,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,RELATION
1014,8.45,2.376443,19.681818,21.65,0.099307,0.873153,20,0.852936,1.636364,12.545455,1.090909,1.090909,3.954545,3.954545,2.210526,2.4,1.95,1.95,2.588235,3,0.322314,15.066116,0.082645,0.082645,0.043388,0.043388,0.692521,5.04,3.8475,3.8475,1.653979,2.352941,0,0.909091,0.045455,0.045455,0.045455,0.045455,0.842105,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863636,0,0.318182,0.318182,0.954545,0.954545,0.105263,0.75,0.5,0.5,0.882353,0.882353,0.045455,0.045455,0.045455,0.045455,0.045455,0.045455,1,0,0,0,0,0,0.863636,0,0.272727,0.272727,0.954545,0.954545,0,0.75,0.5,0.5,0.882353,0.882353,RELATION
1016,20,38.25,3,20,0.666667,0,3,0,6,7.35,7.35,7.35,7.35,101.4,29.666667,7,15.666667,15.666667,17.666667,46,0,0.5275,0.5275,0.5275,0.5275,14690.44,1028.222222,0.666667,150.888889,150.888889,228.222222,3120.666667,0,0,0,0,0,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.333333,1,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1019,-0.5,3.208333,3,8,0.416667,0,3,0,3.25,3.125,3.125,3.125,3.125,3.25,12,2,1.666667,1.666667,2.333333,2.333333,14.1875,8.859375,8.859375,8.859375,8.859375,10.9375,0.666667,0,0.222222,0.222222,0.222222,0.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.875,0.875,0.875,0.875,0.875,0,0.666667,0.666667,0.666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.875,0.875,0.875,0.875,0,0.666667,0.666667,0.666667,0.666667,0.666667,RELATION
1021,2.333333,10.296296,3,9,0.62963,0,3,0,14.555556,15.888889,15.888889,15.888889,15.888889,0.444444,13,12.333333,9,9,9,4,16.246914,56.987654,56.987654,56.987654,56.987654,0.691358,84.666667,77.555556,44.666667,44.666667,38,8.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555556,0.555556,0.555556,0.555556,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1023,20,28.6,3,20,0.666667,0,3,0,40.9,32.9,32.9,32.9,32.9,12,27,28.333333,25,25,29,26.666667,5.29,158.39,158.39,158.39,158.39,0,140.666667,181.555556,132.666667,132.666667,144.666667,150.222222,0,0,0,0,0,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1026,-5.545455,3.656566,11,9,0.191919,0,11,0,12.555556,1.111111,1,1,3.888889,3.222222,2.181818,3.545455,3.727273,3.727273,3.636364,3.909091,30.691358,0.098765,0,0,0.098765,2.839506,1.966942,15.157025,12.561983,12.561983,19.867769,5.719008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888889,0.888889,0.888889,0.888889,0.555556,0.090909,0.727273,0.909091,0.909091,0.727273,0.909091,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,1,0,0,0,0,0,0,0.888889,0.888889,0.888889,0.888889,0.555556,0,0.545455,0.727273,0.727273,0.545455,0.727273,RELATION
1027,2,11.5,3,2,0.333333,0,3,0,4,23.5,23.5,23.5,23.5,7,13.666667,9.333333,9.333333,9.333333,13.666667,9.333333,0,42.25,42.25,42.25,42.25,0,134.888889,30.888889,30.888889,30.888889,134.888889,30.888889,0,1,1,1,1,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,RELATION
1028,11,53.954545,2,11,0,0,2,0,1.909091,106,106,106,1.909091,106,69,52,33,33,52,46.5,0.446281,451.818182,451.818182,451.818182,0.446281,451.818182,4356,2401,961,961,2601,2070.25,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909091,0.909091,0.909091,0,0.909091,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,RELATION
1033,-0.923077,33.166667,3,26,0.025641,0,3,0,22.538462,61.961538,61.961538,61.961538,61.961538,15,9.333333,34,34.333333,34.333333,37.666667,34,7.402367,191.421598,191.421598,191.421598,191.421598,8.076923,48.222222,428.666667,480.888889,480.888889,668.222222,428.666667,0,0.961538,0.961538,0.961538,0.961538,0.961538,0,0.666667,0.666667,0.666667,0.666667,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961538,0.961538,0.961538,0.961538,0.961538,0,0,0.666667,0.666667,0.666667,0.666667,0.666667,0.961538,0.269231,0.269231,0.269231,0.269231,0.961538,0,1,0.666667,0.666667,0.666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1036,23.333333,8.152778,6,24,0,0,6,0,11.833333,3.291667,5.583333,5.583333,12.875,12.208333,7.666667,7,9.5,9.5,9.5,6.833333,6.055556,0.456597,9.659722,9.659722,17.442708,26.748264,9.888889,9,40.583333,40.583333,45.583333,15.472222,1,0.041667,1,1,1,1,1,0.666667,0.666667,0.666667,0.666667,0.666667,0,0.041667,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.833333,0,0,0.333333,0.333333,0.333333,0.166667,0.166667,0,0.958333,0,0,0,0.958333,0,0.5,0.5,0.5,0.5,0.5,0.041667,0.041667,0.041667,0.041667,0.041667,0.041667,1,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0.166667,0.166667,0.166667,0.166667,RELATION
1037,1,12.329268,2,41,0.512195,0,2,0,20.658537,4,4,4,20.658537,4,8.5,13,14.5,14.5,14,14,13.834622,2.195122,2.195122,2.195122,13.834622,2.195122,20.25,100,110.25,110.25,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02439,0,0,0,0.02439,0,0,0,0,0,0,0,0,0.97561,0.97561,0.97561,0,0.97561,0,0.5,0.5,0.5,0.5,0.5,0.02439,0.02439,0.02439,0.02439,0.02439,0.02439,1,0,0,0,0,0,0,0.97561,0.97561,0.97561,0,0.97561,0,0.5,0.5,0.5,0.5,0.5,RELATION
1038,14,28.404762,3,14,0.666667,0,3,0,5.642857,7,7,7,7,72.571429,19,18.666667,25,25,38,24.666667,0.229592,0,0,0,0,1416.244898,312.666667,321.555556,684.666667,684.666667,2048.666667,697.555556,0,0,0,0,0,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0,0,0,0,0,0,1,0,0,0,0,0.285714,0.333333,0.333333,0.666667,0.666667,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1039,0.666667,5.777778,6,3,0.555556,0,6,0,2.333333,13.666667,2.666667,2.666667,3,3.333333,7.166667,5.333333,5.333333,5.333333,5.333333,4.833333,3.555556,4.222222,0.888889,0.888889,4.666667,0.222222,13.472222,30.222222,30.222222,30.222222,30.222222,16.472222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0.166667,0.166667,0.166667,0.166667,0.166667,0.666667,0,0.666667,0.666667,0.666667,0,0,0.666667,0.666667,0.666667,0.666667,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0.666667,0.666667,0.666667,0,0,0.5,0.5,0.5,0.5,0.5,RELATION
1040,-1.857143,7.714286,5,7,0.314286,0,5,0,16.142857,6.285714,5.857143,5.857143,4.571429,5.714286,21.2,6,6,6,5,4,23.55102,41.918367,75.55102,75.55102,56.816327,83.632653,62.96,31.2,56.8,56.8,36.4,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571,0,0,0.142857,0,0.4,0.2,0,0,0,0.2,0,1,0.714286,0.714286,1,0.714286,0.4,0.8,0.8,0.8,0.8,0.4,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,1,0,0,0,0,0,0,0.571429,0,0,0.857143,0,0,0.2,0.4,0.4,0.4,0.2,RELATION
1041,-0.5,4.041667,8,3,0.416667,0,8,0,2,1.666667,6.666667,6.666667,5.333333,4.333333,6.875,2.5,2.5,2.5,2.5,2.75,2,0.222222,27.555556,27.555556,11.555556,10.888889,19.109375,1,1,1,1,1.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.666667,0.666667,0.666667,0.666667,0,0.875,0.875,0.875,0.875,0.875,1,0.333333,0.333333,0.333333,0.333333,0.333333,1,0.125,0.125,0.125,0.125,0.125,0,0.666667,0.666667,0.666667,0.666667,0.666667,0,0.875,0.875,0.875,0.875,0.875,RELATION
1042,4,24.833333,3,4,0.666667,0,3,0,5.5,47.25,47.25,47.25,47.25,21.75,24.333333,25,24.666667,24.666667,24.666667,25.333333,0.25,0.1875,0.1875,0.1875,0.1875,0.1875,299.555556,284.666667,297.555556,297.555556,297.555556,299.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1043,7,32.085714,7,5,1,0,7,0,60.8,25,31.8,31.8,25,32.2,15.428571,34.285714,28.142857,28.142857,25.571429,57,2277.76,10.8,440.96,440.96,7.2,430.16,22.530612,395.632653,59.265306,59.265306,1.102041,1568.857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.142857,0,0,0,0.142857,0.8,1,1,1,1,1,0.857143,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1052,-1.375,15.07,6.25,14.285714,0.37,1.984313,7,0.699854,15.5,4.071429,21.214286,21.214286,8.857143,4.5,6.857143,15,14.714286,14.714286,13,101,490.125,0.066327,8.02551,8.02551,0.265306,0.678571,6.122449,178.285714,183.918367,183.918367,0,0,0.9375,0,0.928571,0.928571,0,0,0,0.428571,0.428571,0.428571,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.928571,0,0,0.928571,0.714286,0,0.571429,0.714286,0.714286,0,1,0.0625,0.071429,0.071429,0.071429,0.071429,0.071429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
1053,-2.103448,13.507853,6.586207,27.285714,0.329843,1.520373,7,0.699854,13.034483,5.666667,26.888889,26.888889,8.925926,4.333333,6.857143,13.285714,13.285714,13.285714,13,101,277.895363,0.518519,38.839506,38.839506,0.142661,0.518519,6.122449,93.061224,93.061224,93.061224,0,0,0.965517,0,0.962963,0.962963,0,0,0,0.428571,0.428571,0.428571,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931034,0.962963,0,0,0.962963,0.814815,0,0.571429,0.714286,0.714286,0,1,0.034483,0.037037,0.037037,0.037037,0.037037,0.037037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RELATION
